             x                y                z         azimuth        dip        iRx
  -3003.33203      -5198.07617       790.000000       30.0000000               0          96
  -2830.12695      -5098.07617       790.000000       30.0000000               0          97
  -2656.92188      -4998.07617       790.000000       30.0000000               0          98
  -2483.71680      -4898.07617       790.000000       30.0000000               0          99
  -2310.51172      -4798.07617       790.000000       30.0000000               0         100
  -2137.30664      -4698.07617       790.000000       30.0000000               0         101
  -1964.10156      -4598.07617       790.000000       30.0000000               0         102
  -1790.89648      -4498.07617       790.000000       30.0000000               0         103
  -1617.69141      -4398.07617       790.000000       30.0000000               0         104
  -1444.48633      -4298.07617       790.000000       30.0000000               0         105
  -1271.28125      -4198.07617       790.000000       30.0000000               0         106
  -1098.07617      -4098.07617       790.000000       30.0000000               0         107
  -924.871094      -3998.07617       790.000000       30.0000000               0         108
  -751.666016      -3898.07617       790.000000       30.0000000               0         109
  -578.460938      -3798.07617       790.000000       30.0000000               0         110
  -405.255859      -3698.07617       790.000000       30.0000000               0         111
  -232.050781      -3598.07617       790.000000       30.0000000               0         112
  -58.8457031      -3498.07617       790.000000       30.0000000               0         113
   114.359375      -3398.07617       790.000000       30.0000000               0         114
   287.564453      -3298.07617       790.000000       30.0000000               0         115
   460.769531      -3198.07617       790.000000       30.0000000               0         116
   633.974609      -3098.07617       790.000000       30.0000000               0         117
   807.179688      -2998.07617       790.000000       30.0000000               0         118
   980.384766      -2898.07617       790.000000       30.0000000               0         119
   1153.58984      -2798.07617       790.000000       30.0000000               0         120
   1326.79492      -2698.07617       790.000000       30.0000000               0         121
   1500.00000      -2598.07617       790.000000       30.0000000               0         122
   1673.20508      -2498.07617       790.000000       30.0000000               0         123
   1846.41016      -2398.07617       790.000000       30.0000000               0         124
   2019.61523      -2298.07617       790.000000       30.0000000               0         125
   2192.82031      -2198.07617       790.000000       30.0000000               0         126
   2366.02539      -2098.07617       790.000000       30.0000000               0         127
   2539.23047      -1998.07617       790.000000       30.0000000               0         128
   2712.43555      -1898.07617       790.000000       30.0000000               0         129
   2885.64062      -1798.07617       790.000000       30.0000000               0         130
   3058.84570      -1698.07617       790.000000       30.0000000               0         131
   3232.05078      -1598.07617       790.000000       30.0000000               0         132
   3405.25586      -1498.07617       790.000000       30.0000000               0         133
   3578.46094      -1398.07617       790.000000       30.0000000               0         134
   3751.66602      -1298.07617       790.000000       30.0000000               0         135
   3924.87109      -1198.07617       790.000000       30.0000000               0         136
   4098.07617      -1098.07617       790.000000       30.0000000               0         137
   4271.28125      -998.076172       790.000000       30.0000000               0         138
