iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 1 Ex 0.25 -8.583627e-15 2.436415e-14
1 2 Ex 0.25 -7.943916e-15 2.738591e-14
1 3 Ex 0.25 -7.044691e-15 3.071170e-14
1 4 Ex 0.25 -5.964484e-15 3.424269e-14
1 5 Ex 0.25 -4.424973e-15 3.823301e-14
1 6 Ex 0.25 -2.545945e-15 4.251801e-14
1 7 Ex 0.25 -3.419965e-16 4.707813e-14
1 8 Ex 0.25 2.547004e-15 5.214282e-14
1 9 Ex 0.25 5.993235e-15 5.758037e-14
1 10 Ex 0.25 1.000357e-14 6.337200e-14
1 11 Ex 0.25 1.482444e-14 6.962488e-14
1 12 Ex 0.25 2.069296e-14 7.639570e-14
1 13 Ex 0.25 2.748270e-14 8.357060e-14
1 14 Ex 0.25 3.532305e-14 9.116937e-14
1 15 Ex 0.25 4.440517e-14 9.922157e-14
1 16 Ex 0.25 5.530658e-14 1.078367e-13
1 17 Ex 0.25 6.784156e-14 1.168762e-13
1 18 Ex 0.25 8.223425e-14 1.263348e-13
1 19 Ex 0.25 9.875402e-14 1.361977e-13
1 20 Ex 0.25 1.177086e-13 1.464389e-13
1 21 Ex 0.25 1.394359e-13 1.570206e-13
1 22 Ex 0.25 1.643261e-13 1.678909e-13
1 23 Ex 0.25 1.928141e-13 1.789846e-13
1 24 Ex 0.25 2.254028e-13 1.902194e-13
1 25 Ex 0.25 2.626359e-13 2.015063e-13
1 26 Ex 0.25 3.051270e-13 2.127510e-13
1 27 Ex 0.25 3.535428e-13 2.238671e-13
1 28 Ex 0.25 4.086636e-13 2.347771e-13
1 29 Ex 0.25 4.712917e-13 2.454822e-13
1 30 Ex 0.25 5.423040e-13 2.560742e-13
1 31 Ex 0.25 6.226564e-13 2.668211e-13
1 32 Ex 0.25 7.148845e-13 2.785188e-13
1 33 Ex 0.25 8.196094e-13 2.925105e-13
1 34 Ex 0.25 9.376486e-13 3.109160e-13
1 35 Ex 0.25 1.073400e-12 3.395230e-13
