iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 1 Ex 0.25 -8.654366e-15 2.476483e-14
1 2 Ex 0.25 -7.881772e-15 2.795344e-14
1 3 Ex 0.25 -7.101579e-15 3.115033e-14
1 4 Ex 0.25 -5.763016e-15 3.495569e-14
1 5 Ex 0.25 -4.384619e-15 3.879719e-14
1 6 Ex 0.25 -2.315905e-15 4.326495e-14
1 7 Ex 0.25 -9.060532e-17 4.785169e-14
1 8 Ex 0.25 2.922717e-15 5.303725e-14
1 9 Ex 0.25 6.338273e-15 5.847973e-14
1 10 Ex 0.25 1.051901e-14 6.441097e-14
1 11 Ex 0.25 1.554141e-14 7.079346e-14
1 12 Ex 0.25 2.115232e-14 7.749148e-14
1 13 Ex 0.25 2.830377e-14 8.487862e-14
1 14 Ex 0.25 3.617603e-14 9.254581e-14
1 15 Ex 0.25 4.556613e-14 1.007729e-13
1 16 Ex 0.25 5.662218e-14 1.094978e-13
1 17 Ex 0.25 6.891430e-14 1.185622e-13
1 18 Ex 0.25 8.355149e-14 1.281830e-13
1 19 Ex 0.25 1.004918e-13 1.382190e-13
1 20 Ex 0.25 1.195033e-13 1.485759e-13
1 21 Ex 0.25 1.411740e-13 1.592870e-13
1 22 Ex 0.25 1.668580e-13 1.703545e-13
1 23 Ex 0.25 1.958563e-13 1.816038e-13
1 24 Ex 0.25 2.286575e-13 1.929883e-13
1 25 Ex 0.25 2.658376e-13 2.044417e-13
1 26 Ex 0.25 3.083389e-13 2.158719e-13
1 27 Ex 0.25 3.574652e-13 2.271630e-13
1 28 Ex 0.25 4.131897e-13 2.382654e-13
1 29 Ex 0.25 4.764404e-13 2.491799e-13
1 30 Ex 0.25 5.482678e-13 2.600021e-13
1 31 Ex 0.25 6.298271e-13 2.710409e-13
1 32 Ex 0.25 7.223919e-13 2.829767e-13
1 33 Ex 0.25 8.273684e-13 2.971298e-13
1 34 Ex 0.25 9.463413e-13 3.158753e-13
1 35 Ex 0.25 1.082762e-12 3.446856e-13
1 36 Ex 0.25 1.239386e-12 3.924628e-13
1 37 Ex 0.25 1.419668e-12 4.725715e-13
1 38 Ex 0.25 1.630771e-12 6.072746e-13
1 39 Ex 0.25 1.900001e-12 8.628984e-13
1 40 Ex 0.25 2.251147e-12 1.291927e-12
1 41 Ex 0.25 2.797697e-12 2.093784e-12
1 42 Ex 0.25 3.716256e-12 3.489485e-12
1 43 Ex 0.25 5.458635e-12 5.957674e-12
1 44 Ex 0.25 9.220421e-12 1.045684e-11
1 45 Ex 0.25 1.781231e-11 1.858180e-11
1 46 Ex 0.25 3.951942e-11 3.371055e-11
1 47 Ex 0.25 9.745359e-11 6.194806e-11
1 48 Ex 0.25 2.809018e-10 1.181455e-10
1 49 Ex 0.25 1.029810e-09 2.413347e-10
1 50 Ex 0.25 5.155197e-09 5.477384e-10
1 51 Ex 0.25 -3.114434e-08 6.795378e-10
1 52 Ex 0.25 5.301951e-09 5.533111e-10
1 53 Ex 0.25 1.025723e-09 2.392230e-10
1 54 Ex 0.25 2.780656e-10 1.160741e-10
1 55 Ex 0.25 9.676444e-11 6.056477e-11
1 56 Ex 0.25 3.964366e-11 3.291324e-11
1 57 Ex 0.25 1.815602e-11 1.819007e-11
1 58 Ex 0.25 9.549252e-12 1.031183e-11
1 59 Ex 0.25 5.705221e-12 5.948706e-12
1 60 Ex 0.25 3.876123e-12 3.543516e-12
1 61 Ex 0.25 2.887453e-12 2.170175e-12
