iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 12 Ey 0.25 3.829685e-18 -5.785242e-18
1 13 Ey 0.25 3.584574e-18 -6.813072e-18
1 14 Ey 0.25 3.152402e-18 -7.951374e-18
1 15 Ey 0.25 2.552496e-18 -9.188733e-18
1 16 Ey 0.25 1.751104e-18 -1.056327e-17
1 17 Ey 0.25 6.941825e-19 -1.211179e-17
1 18 Ey 0.25 -6.046346e-19 -1.382581e-17
1 19 Ey 0.25 -2.190532e-18 -1.573623e-17
1 20 Ey 0.25 -4.230967e-18 -1.795697e-17
1 21 Ey 0.25 -6.612313e-18 -2.041045e-17
1 22 Ey 0.25 -9.626692e-18 -2.331432e-17
1 23 Ey 0.25 -1.289221e-17 -2.640243e-17
1 24 Ey 0.25 -1.704828e-17 -3.019396e-17
1 25 Ey 0.25 -2.174861e-17 -3.444622e-17
1 26 Ey 0.25 -2.710574e-17 -3.925445e-17
1 27 Ey 0.25 -3.379964e-17 -4.542815e-17
1 28 Ey 0.25 -4.143776e-17 -5.283385e-17
1 29 Ey 0.25 -5.019234e-17 -6.179839e-17
1 30 Ey 0.25 -6.083133e-17 -7.420944e-17
1 31 Ey 0.25 -7.348792e-17 -9.103392e-17
1 32 Ey 0.25 -8.895564e-17 -1.142366e-16
1 33 Ey 0.25 -1.081954e-16 -1.469117e-16
1 34 Ey 0.25 -1.326078e-16 -1.938196e-16
1 35 Ey 0.25 -1.663911e-16 -2.634522e-16
1 36 Ey 0.25 -2.180518e-16 -3.699138e-16
1 37 Ey 0.25 -3.026212e-16 -5.350792e-16
1 38 Ey 0.25 -4.463520e-16 -7.915184e-16
1 39 Ey 0.25 -7.055148e-16 -1.193096e-15
1 40 Ey 0.25 -1.177263e-15 -1.817833e-15
1 41 Ey 0.25 -2.033126e-15 -2.778562e-15
1 42 Ey 0.25 -3.687954e-15 -4.307145e-15
1 43 Ey 0.25 -7.012938e-15 -6.803018e-15
1 44 Ey 0.25 -1.380075e-14 -1.087696e-14
1 45 Ey 0.25 -2.818486e-14 -1.767632e-14
1 46 Ey 0.25 -6.410540e-14 -3.019744e-14
1 47 Ey 0.25 -1.647157e-13 -5.475402e-14
1 48 Ey 0.25 -5.405228e-13 -1.118591e-13
1 49 Ey 0.25 -2.476546e-12 -2.716118e-13
1 50 Ey 0.25 -2.187623e-11 -8.976961e-13
1 51 Ey 0.25 -1.703878e-13 4.446758e-14
1 52 Ey 0.25 2.214088e-11 8.715478e-13
1 53 Ey 0.25 2.476168e-12 2.566527e-13
1 54 Ey 0.25 5.413092e-13 1.052701e-13
1 55 Ey 0.25 1.667475e-13 5.202654e-14
1 56 Ey 0.25 6.576215e-14 2.901065e-14
1 57 Ey 0.25 2.939496e-14 1.727895e-14
1 58 Ey 0.25 1.460824e-14 1.083324e-14
1 59 Ey 0.25 7.526725e-15 6.919529e-15
1 60 Ey 0.25 3.993243e-15 4.468939e-15
1 61 Ey 0.25 2.201105e-15 2.931919e-15
1 62 Ey 0.25 1.264572e-15 1.952354e-15
1 63 Ey 0.25 7.411160e-16 1.300656e-15
1 64 Ey 0.25 4.525833e-16 8.733094e-16
1 65 Ey 0.25 2.896915e-16 5.921264e-16
1 66 Ey 0.25 2.014435e-16 4.119201e-16
1 67 Ey 0.25 1.473160e-16 2.927645e-16
1 68 Ey 0.25 1.131295e-16 2.136906e-16
1 69 Ey 0.25 9.097571e-17 1.611909e-16
1 70 Ey 0.25 7.330022e-17 1.237906e-16
1 71 Ey 0.25 5.926730e-17 9.696223e-17
1 72 Ey 0.25 4.846183e-17 7.790268e-17
1 73 Ey 0.25 4.011044e-17 6.462796e-17
1 74 Ey 0.25 3.189299e-17 5.389328e-17
1 75 Ey 0.25 2.517069e-17 4.555827e-17
1 76 Ey 0.25 1.972160e-17 3.914718e-17
1 77 Ey 0.25 1.498970e-17 3.377583e-17
1 78 Ey 0.25 1.084574e-17 2.903371e-17
1 79 Ey 0.25 7.188995e-18 2.481301e-17
1 80 Ey 0.25 4.387595e-18 2.141315e-17
