iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 1 Ex 0.25 -6.879387e-15 2.702343e-14
1 2 Ex 0.25 -5.977235e-15 3.020715e-14
1 3 Ex 0.25 -5.075083e-15 3.339087e-14
1 4 Ex 0.25 -3.720015e-15 3.699791e-14
1 5 Ex 0.25 -1.515498e-15 4.139889e-14
1 6 Ex 0.25 6.890191e-16 4.579988e-14
1 7 Ex 0.25 2.893536e-15 5.020086e-14
1 8 Ex 0.25 6.450857e-15 5.550205e-14
1 9 Ex 0.25 1.070474e-14 6.126675e-14
1 10 Ex 0.25 1.495863e-14 6.703146e-14
1 11 Ex 0.25 1.993860e-14 7.313680e-14
1 12 Ex 0.25 2.719755e-14 8.031129e-14
1 13 Ex 0.25 3.445649e-14 8.748578e-14
1 14 Ex 0.25 4.201921e-14 9.475719e-14
1 15 Ex 0.25 5.345986e-14 1.032658e-13
1 16 Ex 0.25 6.490052e-14 1.117744e-13
1 17 Ex 0.25 7.709550e-14 1.204333e-13
1 18 Ex 0.25 9.412495e-14 1.300550e-13
1 19 Ex 0.25 1.111544e-13 1.396767e-13
1 20 Ex 0.25 1.311635e-13 1.496071e-13
1 21 Ex 0.25 1.554300e-13 1.599784e-13
1 22 Ex 0.25 1.796965e-13 1.703496e-13
1 23 Ex 0.25 2.120756e-13 1.809516e-13
1 24 Ex 0.25 2.454857e-13 1.915828e-13
1 25 Ex 0.25 2.850858e-13 2.020526e-13
1 26 Ex 0.25 3.298121e-13 2.123886e-13
1 27 Ex 0.25 3.797297e-13 2.224337e-13
1 28 Ex 0.25 4.382046e-13 2.319993e-13
1 29 Ex 0.25 5.026870e-13 2.412487e-13
1 30 Ex 0.25 5.775520e-13 2.499513e-13
1 31 Ex 0.25 6.620401e-13 2.587039e-13
1 32 Ex 0.25 7.560650e-13 2.675057e-13
1 33 Ex 0.25 8.671221e-13 2.789707e-13
1 34 Ex 0.25 9.874767e-13 2.932224e-13
1 35 Ex 0.25 1.128658e-12 3.171481e-13
1 36 Ex 0.25 1.290231e-12 3.612092e-13
1 37 Ex 0.25 1.473135e-12 4.342588e-13
1 38 Ex 0.25 1.684850e-12 5.556843e-13
1 39 Ex 0.25 1.954795e-12 8.000633e-13
1 40 Ex 0.25 2.318710e-12 1.246114e-12
1 41 Ex 0.25 2.865989e-12 2.042511e-12
1 42 Ex 0.25 3.800729e-12 3.458980e-12
1 43 Ex 0.25 5.573839e-12 5.957752e-12
1 44 Ex 0.25 9.530105e-12 1.059703e-11
1 45 Ex 0.25 1.883651e-11 1.911288e-11
1 46 Ex 0.25 4.007850e-11 3.395378e-11
1 47 Ex 0.25 1.016216e-10 6.314776e-11
1 48 Ex 0.25 2.952107e-10 1.206723e-10
1 49 Ex 0.25 1.096285e-09 2.476290e-10
1 50 Ex 0.25 6.630305e-09 5.974256e-10
1 51 Ex 0.25 -5.379158e-08 9.909240e-10
1 52 Ex 0.25 6.944290e-09 6.056605e-10
1 53 Ex 0.25 1.080228e-09 2.419651e-10
1 54 Ex 0.25 2.881429e-10 1.159501e-10
1 55 Ex 0.25 9.996740e-11 6.009316e-11
1 56 Ex 0.25 4.032606e-11 3.221502e-11
1 57 Ex 0.25 1.952849e-11 1.823158e-11
1 58 Ex 0.25 1.021537e-11 1.026040e-11
1 59 Ex 0.25 6.093085e-12 5.919042e-12
1 60 Ex 0.25 4.140267e-12 3.558233e-12
1 61 Ex 0.25 3.058988e-12 2.193879e-12
1 62 Ex 0.25 2.405851e-12 1.402945e-12
1 63 Ex 0.25 1.971505e-12 9.404563e-13
1 64 Ex 0.25 1.658729e-12 6.717272e-13
1 65 Ex 0.25 1.425817e-12 5.265924e-13
1 66 Ex 0.25 1.231757e-12 4.331947e-13
