iTx iRx chrec frequency/Hz Real{E/H} Imag{E/H}
1 12 Ey 0.25 1.420596e-17 -5.494778e-18
1 13 Ey 0.25 1.435811e-17 -7.126793e-18
1 14 Ey 0.25 1.427395e-17 -8.864560e-18
1 15 Ey 0.25 1.397787e-17 -1.069715e-17
1 16 Ey 0.25 1.341644e-17 -1.262086e-17
1 17 Ey 0.25 1.251847e-17 -1.466013e-17
1 18 Ey 0.25 1.133577e-17 -1.686737e-17
1 19 Ey 0.25 9.815146e-18 -1.927396e-17
1 20 Ey 0.25 7.588016e-18 -2.198792e-17
1 21 Ey 0.25 4.830990e-18 -2.493242e-17
1 22 Ey 0.25 1.369041e-18 -2.843582e-17
1 23 Ey 0.25 -2.366794e-18 -3.215023e-17
1 24 Ey 0.25 -7.021967e-18 -3.651656e-17
1 25 Ey 0.25 -1.217132e-17 -4.131158e-17
1 26 Ey 0.25 -1.791701e-17 -4.662390e-17
1 27 Ey 0.25 -2.526955e-17 -5.343687e-17
1 28 Ey 0.25 -3.359936e-17 -6.154035e-17
1 29 Ey 0.25 -4.305171e-17 -7.126334e-17
1 30 Ey 0.25 -5.434168e-17 -8.450968e-17
1 31 Ey 0.25 -6.813101e-17 -1.025685e-16
1 32 Ey 0.25 -8.510889e-17 -1.272883e-16
1 33 Ey 0.25 -1.063069e-16 -1.617072e-16
1 34 Ey 0.25 -1.336365e-16 -2.106909e-16
1 35 Ey 0.25 -1.727382e-16 -2.832373e-16
1 36 Ey 0.25 -2.312965e-16 -3.923848e-16
1 37 Ey 0.25 -3.258794e-16 -5.594597e-16
1 38 Ey 0.25 -4.878304e-16 -8.172064e-16
1 39 Ey 0.25 -7.726071e-16 -1.214400e-15
1 40 Ey 0.25 -1.282517e-15 -1.824746e-15
1 41 Ey 0.25 -2.195099e-15 -2.754150e-15
1 42 Ey 0.25 -3.929154e-15 -4.217709e-15
1 43 Ey 0.25 -7.365309e-15 -6.581324e-15
1 44 Ey 0.25 -1.428195e-14 -1.038561e-14
1 45 Ey 0.25 -2.877929e-14 -1.667995e-14
1 46 Ey 0.25 -6.466946e-14 -2.823553e-14
1 47 Ey 0.25 -1.643897e-13 -5.061229e-14
1 48 Ey 0.25 -5.378310e-13 -1.031606e-13
1 49 Ey 0.25 -2.474345e-12 -2.515049e-13
1 50 Ey 0.25 -2.208085e-11 -8.504240e-13
1 51 Ey 0.25 6.209891e-13 8.731983e-14
1 52 Ey 0.25 2.296715e-11 8.823831e-13
1 53 Ey 0.25 2.576374e-12 2.621104e-13
1 54 Ey 0.25 5.602655e-13 1.078642e-13
1 55 Ey 0.25 1.715770e-13 5.331681e-14
1 56 Ey 0.25 6.742862e-14 2.980931e-14
